hblock,streetuse,length,RackDist,InterDist,BikewayDis,ParkDist,StationDis,BusDist,SignalDist,Population,Pop_employ,Empl_rate,Bike_Commu,age_avg,age_median,area,Pop_densit,Arterial,Collector,Residentia,SecArteria,NUM_Thefts,NUM_racks,NUM_parkin,NUM_statio,NUM_bus,NUM_inters,NUM_signal,CompDev,Commercial,Industrial,MultiRes,OneRes,TwoRes
200 PRINCESS AV,Residential,50.227,35.098,25.113,135.767,27.581,1263.189,88.037,25.113,12585,14575,59.1,180,47.3,48.3,4373270.468820445,0.002877709048577,0,0,1,0,39.0,3.0,4.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0
300 COLUMBIA ST,Arterial,50.232,4.826,25.116,181.451,20.7,610.807,118.224,25.116,62030,37770,68.8,1020,40.6,37.1,4677998.388639083,0.013259944712817,1,0,0,0,72.0,6.0,2.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0
7000-7200 WILTSHIRE ST,Residential,51.819,853.159,25.909,102.453,1586.615,2345.278,267.492,325.649,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
1800 ADANAC ST,Residential,200.123,270.422,94.84,39.167,218.912,1566.982,182.004,144.143,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
3400 VINE ST,Residential,50.387,384.87,25.194,387.059,667.712,3197.454,141.145,393.109,15295,6320,48.4,205,44.6,46.2,3703560.327458601,0.004129809871491,0,0,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
1200 E 22ND AV,Residential,39.84,48.445,19.92,363.236,1167.21,1393.541,47.232,44.622,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,0
700 W 54TH AV,Residential,40.006,712.384,13.414,77.2,2294.915,717.349,413.225,271.62,13030,5405,47.2,70,44.3,45.1,4026970.0669390145,0.003235683350858,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
3300 KINGSWAY,Arterial,79.911,229.468,39.956,621.388,11.416,586.822,56.874,39.956,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,1,0,0,0,32.0,0.0,13.0,0.0,0.0,2.0,1.0,0,1,0,0,0,0
1300 E 59TH AV,Residential,55.572,1064.924,27.786,0.003,1160.534,2880.325,143.143,137.619,36500,12555,66.2,1155,39.8,38.7,6580960.970335784,0.005546302457122,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
1900 W 37TH AV,Residential,106.747,317.98,53.373,51.988,305.342,2613.581,305.224,310.471,8430,5910,49.0,205,43.8,45.7,4483905.832021184,0.001880057324085,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3800 MACKENZIE ST,Residential,50.288,221.418,25.144,242.897,1298.759,4003.746,173.759,275.094,15295,6320,48.4,205,44.6,46.2,3703560.327458601,0.004129809871491,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
4800 NANAIMO ST,Secondary Arterial,60.805,30.324,33.367,336.756,1688.922,761.235,37.683,33.351,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,1,0,0,1,16.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1,0,0,0,0
6900 WHITHORN COURT,Residential,43.238,1318.491,21.619,797.729,1373.231,2036.498,144.709,146.601,29325,19110,62.3,430,42.4,43.4,6939576.693017392,0.004225762074149,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0
1700-1800 E 12TH AV,Secondary Arterial,47.252,64.69,23.626,232.889,41.309,252.887,45.301,23.626,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,1,0,0,1,7.0,0.0,2.0,0.0,0.0,1.0,1.0,1,1,0,1,0,0
3100 WALLACE ST,Residential,60.314,94.36,30.157,210.314,634.741,5341.28,38.238,183.721,13065,3755,55.8,175,42.1,43.9,5304418.066323932,0.002463041154872,0,0,1,0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0,0,0,1,0
3000 WINDSOR ST,Residential,50.317,355.539,25.158,0.001,850.966,962.269,382.611,226.408,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,0,0,1,0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1
100 SALSBURY DRIVE,Residential,42.384,95.633,21.192,119.144,601.987,2175.146,119.687,155.978,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,0,0,1,0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0
5800 QUEBEC ST,Residential,50.972,145.903,25.486,146.975,924.219,917.396,171.154,182.73,36500,12555,66.2,1155,39.8,38.7,6580960.970335784,0.005546302457122,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
600 POWELL ST,Arterial,142.029,17.695,71.015,178.422,8.85,1321.683,35.849,71.015,12585,14575,59.1,180,47.3,48.3,4373270.468820445,0.002877709048577,1,0,0,0,7.0,5.0,4.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0
900 RICHARDS ST,Arterial,164.741,36.448,82.37,0.0,8.211,365.079,102.809,82.37,62030,37770,68.8,1020,40.6,37.1,4677998.388639083,0.013259944712817,1,0,0,0,7.0,1.0,15.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
1400 BEACH AV,Arterial,120.688,226.288,60.344,214.722,191.496,1513.599,27.992,181.082,47200,27350,71.1,2570,42.8,38.4,2257987.747623282,0.020903567811509,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1,0
4400-4500 VICTORIA DRIVE,Secondary Arterial,61.516,76.984,30.758,249.32,1751.857,806.577,52.334,91.218,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,1,0,0,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1
2900 FIR ST,Secondary Arterial,51.192,138.892,25.596,397.775,117.681,1962.928,175.341,25.596,33620,9590,53.9,455,43.4,40.2,3638258.8024592097,0.009240684026457,1,0,0,1,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,1,1,0
5600 CLARENDON ST,Collector,55.866,686.854,27.933,245.794,1322.535,1371.345,15.784,88.251,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,1,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,1
400 E BROADWAY,Arterial,140.745,103.558,70.372,105.737,202.857,1150.276,8.95,70.372,32955,22760,77.9,2520,38.3,35.5,3723543.6529631615,0.00885044008381,1,0,0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0
2200 WAVERLEY AV,Residential,49.684,457.838,24.842,54.46,1825.735,2144.19,221.281,230.757,31065,6065,54.9,510,43.7,44.3,5504918.44413391,0.005643135373441,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
4700-4800 HENRY ST,Residential,44.754,786.437,22.377,255.67,1237.906,1717.33,85.449,250.678,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
4100 SOPHIA ST,Residential,71.229,147.288,35.615,154.4,117.721,1190.166,140.434,166.903,22555,27225,65.1,1580,40.2,39.3,4935559.289290368,0.004569897488405,0,0,1,0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,1,0
600 MCLEAN DRIVE,Residential,50.153,127.711,25.077,0.397,419.565,1483.258,265.805,226.026,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1,0
2100 SEMLIN DRIVE,Residential,50.237,426.191,25.118,140.811,383.971,420.022,321.584,225.878,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1
5900-6000 ELM ST,Residential,52.719,402.029,26.36,57.762,395.2,3522.561,381.615,387.218,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
1900 E 15TH AV,Residential,50.363,362.243,25.181,100.556,454.412,610.253,310.072,302.632,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1
2500 POINT GREY ROAD,Residential,174.729,310.485,14.946,72.419,566.018,3079.38,85.825,87.03,43045,15080,57.0,110,40.6,37.7,6367985.032080911,0.006759595034088,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1
3900 RUPERT ST,Secondary Arterial,99.06,957.992,49.53,0.003,1601.577,1042.39,80.261,153.82,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,1,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1300 W KING EDWARD AV,Arterial,169.792,712.049,84.896,241.727,983.869,1469.786,112.565,259.489,8430,5910,49.0,205,43.8,45.7,4483905.832021184,0.001880057324085,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
7600 MANITOBA ST,Residential,48.238,804.46,24.119,232.396,1271.913,830.19,348.991,349.277,24460,17765,60.4,755,41.9,42.2,6007639.575359696,0.004071482600308,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0
